SNR,Adaptive_Modulation,Adaptive_BER,Fixed_BPSK_BER,Fixed_QPSK_BER,Fixed_16QAM_BER,RuleBased_BER
-5.0,BPSK,0.208,0.214,0.1968625910974531,0.19842509473222036,0.22
-1.6666666666666665,BPSK,0.135,0.124,0.19330181255956702,0.19662238558188996,0.118
1.666666666666667,QPSK,0.18584767808334401,0.049,0.18584767808334401,0.1927940238095279,0.18584767808334401
5.0,QPSK,0.1707505097046594,0.004,0.1707505097046594,0.18479746194396687,0.1707505097046594
8.333333333333334,16QAM,0.16867846846089987,0.0,0.14226212861157397,0.16867846846089987,0.16867846846089987
11.666666666666668,16QAM,0.13856888264972964,0.0,0.0960066761939727,0.13856888264972964,0.13856888264972964
15.0,16QAM,0.09071728855820471,0.0,0.04114813221676289,0.09071728855820471,0.09071728855820471
18.333333333333336,16QAM,0.03641887535333055,0.0,0.006631672410007137,0.03641887535333055,0.03641887535333055
21.666666666666668,16QAM,0.005097851607225252,0.0,0.00012994045504644542,0.005097851607225252,0.005097851607225252
25.0,16QAM,7.372769399079077e-05,0.0,2.7178864305998425e-08,7.372769399079077e-05,7.372769399079077e-05
